customer_id,customer_name,email,mobile_number,city_name,state_name,country_name,risk_band,kyc_status
CUST000001,Customer 000001,customer000001@example.com,9835714784,Delhi,Delhi,India,HIGH,VERIFIED
CUST000002,Customer 000002,customer000002@example.com,9866623995,Delhi,Delhi,India,HIGH,VERIFIED
CUST000003,Customer 000003,customer000003@example.com,9820117988,Hyderabad,Telangana,India,HIGH,VERIFIED
CUST000004,Customer 000004,customer000004@example.com,9883863413,Ahmedabad,Gujarat,India,HIGH,PENDING
CUST000005,Customer 000005,customer000005@example.com,9811980765,Pune,Maharashtra,India,HIGH,VERIFIED
CUST000006,Customer 000006,customer000006@example.com,9841726318,Bengaluru,Karnataka,India,HIGH,VERIFIED
CUST000007,Customer 000007,customer000007@example.com,9838688676,Chennai,Tamil Nadu,India,HIGH,VERIFIED
CUST000008,Customer 000008,customer000008@example.com,9860864911,Delhi,Delhi,India,HIGH,VERIFIED
CUST000009,Customer 000009,customer000009@example.com,9871070189,Hyderabad,Telangana,India,HIGH,VERIFIED
CUST000010,Customer 000010,customer000010@example.com,9884593961,Pune,Maharashtra,India,MEDIUM,VERIFIED
CUST000011,Customer 000011,customer000011@example.com,9835487660,Hyderabad,Telangana,India,HIGH,VERIFIED
CUST000012,Customer 000012,customer000012@example.com,9887736262,Pune,Maharashtra,India,MEDIUM,VERIFIED
CUST000013,Customer 000013,customer000013@example.com,9852091325,Delhi,Delhi,India,HIGH,PENDING
CUST000014,Customer 000014,customer000014@example.com,9877491435,Delhi,Delhi,India,MEDIUM,VERIFIED
CUST000015,Customer 000015,customer000015@example.com,9820752378,Pune,Maharashtra,India,HIGH,PENDING
CUST000016,Customer 000016,customer000016@example.com,9841568532,Pune,Maharashtra,India,HIGH,VERIFIED
CUST000017,Customer 000017,customer000017@example.com,9843046464,Chennai,Tamil Nadu,India,MEDIUM,VERIFIED
CUST000018,Customer 000018,customer000018@example.com,9821003626,Chennai,Tamil Nadu,India,HIGH,VERIFIED
CUST000019,Customer 000019,customer000019@example.com,9880166708,Bengaluru,Karnataka,India,HIGH,VERIFIED
CUST000020,Customer 000020,customer000020@example.com,9899889098,Chennai,Tamil Nadu,India,MEDIUM,VERIFIED
CUST000021,Customer 000021,customer000021@example.com,9863121477,Hyderabad,Telangana,India,HIGH,VERIFIED
CUST000022,Customer 000022,customer000022@example.com,9871367643,Chennai,Tamil Nadu,India,HIGH,VERIFIED
CUST000023,Customer 000023,customer000023@example.com,9811250299,Chennai,Tamil Nadu,India,HIGH,VERIFIED
CUST000024,Customer 000024,customer000024@example.com,9823419256,Mumbai,Maharashtra,India,HIGH,VERIFIED
CUST000025,Customer 000025,customer000025@example.com,9845594597,Pune,Maharashtra,India,HIGH,VERIFIED
CUST000026,Customer 000026,customer000026@example.com,9842787299,Mumbai,Maharashtra,India,MEDIUM,VERIFIED
CUST000027,Customer 000027,customer000027@example.com,9882909480,Hyderabad,Telangana,India,HIGH,VERIFIED
CUST000028,Customer 000028,customer000028@example.com,9897775215,Ahmedabad,Gujarat,India,HIGH,PENDING
CUST000029,Customer 000029,customer000029@example.com,9884437458,Ahmedabad,Gujarat,India,MEDIUM,VERIFIED
CUST000030,Customer 000030,customer000030@example.com,9828024248,Mumbai,Maharashtra,India,MEDIUM,VERIFIED
CUST000031,Customer 000031,customer000031@example.com,9884252420,Mumbai,Maharashtra,India,LOW,VERIFIED
CUST000032,Customer 000032,customer000032@example.com,9838270233,Delhi,Delhi,India,HIGH,VERIFIED
CUST000033,Customer 000033,customer000033@example.com,9895125977,Chennai,Tamil Nadu,India,MEDIUM,VERIFIED
CUST000034,Customer 000034,customer000034@example.com,9816818112,Bengaluru,Karnataka,India,LOW,VERIFIED
